Tweet Text,Location,Sentiment Polarity
"RT @DrMartyFox: Hero James Shaw Wrestled The Gun Away From The #WaffleHouseShooter While He Was Reloading 

There Were No Good Guys With #G…",ny,0.245413138
"RT @charliekirk11: Liberals hate walls yet live in gated communities 

Liberals hate guns yet walk around with armed guards 

Liberals hate…",nc,-0.491227482
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",ky,0.342535049
RT @Cook4USHouse: I believe We the People have spoken and we want our guns and our gun rights upheld #AMERICAFIRST #Grassroots candidates a…,ca,0.224620911
"RT @prayingmedic: 18) #Qanon said the order of removing CIA influence is important.
Saudia Arabia first. 
(They funded the CIA.)
Then North…",az,0.08064889
RT @DontMockMyTypos: Here's the thing the Liberal Left doesn't understand. I could give a rats a*s what they think of my guns. They WILL RE…,tn,-0.038033554
RT @apoll_day: #WaffleHouse shooting suspect’s father could face charges for giving his son his guns back after local authorities had previ…,tx,-0.410115476
"RT @TheRISEofROD: Liberals don't want you to know that more lives are saved by law abiding Americans defending themselves/others with guns,…",fl,-0.757480625
No more #Hoggwash https://t.co/cUitUXXBqC,fl,-0.098909707
"RT @DouglasRCobb: ""You should have died, Reeves,"" he told himself. ""You're like a walking ghost, just like Ahawie prophesied in your dream.…",ks,0.011480818
@PineappleTrevor @ClintonMSix14 @JanjoinedNRA Nope...he’s not. Women love men who carry guns BTW😉,pa,0.551379861
"@RMdeVienne Thanks for providing info on guns, since I am left handed I always got hit in the face by the ejected s… https://t.co/sXQAdGkBvG",tx,-0.486538043
@Kitchener1850 @Seabee81 @KyleKashuv @GregPittman1957 @ChuckNASCAR @DershyTwitmo @StevieSWinn With his way of think… https://t.co/rfOWbIMaOW,mn,-0.407878696
@phosphor112 @Bands_bednarski @johnrobbins29 @MichaelSkolnik So you have evidence of criminals purchasing guns lega… https://t.co/dubNs81XOv,fl,-0.711701745
RT @charluminati: guns are lame imagine fools having katana duels in the street ah fuck,co,0.081801065
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",va,0.342535049
"RT @CollinRugg: If there’s one thing that every mass shooter has in common, it is that he or she is always known by the FBI.

Maybe it’s no…",fl,-0.411695166
"RT @RyanAFournier: Over the last two months there have been over 5,000 deaths from opioid/drug overdoses. 

The Government has had a War on…",fl,-0.291801789
"had a good debate about guns in classrooms the other day, got to hear from both sides of the argument, all i gotta… https://t.co/m3o4Gvi8yB",oh,-0.73965962
RT @BettyBowers: Gun sales lobbyist @DLoesch says there's nothing we can do about guns because “human nature cannot be prevented through la…,ca,0.062126828
"RT @Education4Libs: Emma Gonzalez now wants to confiscate ALL semi-automatic guns.

If she hates the 2nd Amendment so much, then why doesn’…",nj,-0.363677552
RT @paradisecityfan: Lot of 4 Guns N Roses Not in this Lifetime Duff Guitar Picks Pick https://t.co/Ly9r2n7nsm https://t.co/ZEm6r0untG,co,-0.220440323
@consequence @Bunnymen @violentfemmes Why so many Texas and Florida dates and no midwest? Don't Texans and Floridia… https://t.co/7KLr0cRqzg,oh,0.165988895
"RT @Khanoisseur: Deaths from cigarettes, alcohol and junk foods are all preventable deaths, just like guns. We choose to pretend they are n…",fl,-0.060943712
This! https://t.co/DG4qCHFJRi,wa,-0.067629272
@ClarekNickolas @FOX4 Nra my ass guns don't kill people it's the dumbass pulling the trigger,me,-0.064323756
"RT @sxdoc: Gun Control? You’ve heard of Hitler, Mao, &amp; Stalin who took guns away before millions of citizens were murdered. US History: Lak…",tx,0.184998393
"RT @unicorndarkblue: Wal-Mart raising the age to purchase a gun to 21 is clear disrespect for our military. 
""Yeah, go protect our country…",fl,-0.062634707
RT @mccaffreyr3: Pres Trump refers to KJU as “honorable”. He had his uncle the  #2 in Gov almost beaten to death. Then blown up by antiairc…,mi,0.063849913
@GregPittman1957 @MatthewSSpencer @Montel_Williams @KyleKashuv Where was your damn concern when Nicolas Cruz was sh… https://t.co/4ybcK4CXqg,va,-0.644313305
"RT @Junior_NAA: Join us to protest the gun lobby @NRA @NSSF in Newtown, CT when the @NRA is holding its convention in Dallas to promote its…",ma,-0.3019065
@jbendery Joe Machin needs to make it official. He's part of the Guns Over Party thuggery.,mi,-0.060943712
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",va,0.342535049
@nevertrump62 How about a world where guns prevent mass shootings? How about in Parkland where FBI school district… https://t.co/Yl5q4YfIGn,ct,-0.219000867
"No matter what is illegal, it won’t make people stop breaking laws. What we need isn’t necessarily more people with… https://t.co/RprHmmb0Bz",ms,-0.85588354
RT @Cook4USHouse: I believe We the People have spoken and we want our guns and our gun rights upheld #AMERICAFIRST #Grassroots candidates a…,ct,0.224620911
"RT @BearingArmsCom: Here’s A Shocker: Venezuela Bans Guns, Homicides Skyrocket https://t.co/QrL4sZYKNZ",oh,-0.222014751
RT @shannonrwatts: Of course he is... These guns aren’t going to sell themselves!!! https://t.co/4KARph9Eu3,ca,0.299211781
@Natsume_Inc @PQubeGames is the inside of the Gal Gun 2 slipcover a misprint? or is it a deliberate Wild Guns promo? https://t.co/LQtKMryVKV,ny,-0.634236691
"RT @RyanAFournier: Over the last two months there have been over 5,000 deaths from opioid/drug overdoses. 

The Government has had a War on…",or,-0.291801789
"RT @charliekirk11: Liberals hate walls yet live in gated communities 

Liberals hate guns yet walk around with armed guards 

Liberals hate…",ca,-0.491227482
"RT @NRA: .@DICKS decision to stop selling certain configurations of semi-automatic firearms was irrational, but the decision to destroy the…",tx,0.062126867
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",ga,0.342535049
"RT @MsLisaHendricks: LOCK THEM UP! Your guns, that is.

The BeSMART program raises awareness of responsible gun storage to prevent unintent…",ky,0.226325427
"RT @shannonrwatts: Rhode Island lawmaker @MikeWChip likes to “joust” with teen gun violence survivors in a “blunt, edgy and playful manner.…",ut,-0.077501748
"RT @CollinRugg: If there’s one thing that every mass shooter has in common, it is that he or she is always known by the FBI.

Maybe it’s no…",il,-0.411695166
Cam is hilarious for having Hell Rell on THE JAIL phone freestyling about drugs and guns as if that wouldn’t have his homie put in the hole.,ny,-0.398258758
"RT @charliekirk11: Liberals hate walls yet live in gated communities 

Liberals hate guns yet walk around with armed guards 

Liberals hate…",ia,-0.491227482
"RT @TheMarkPantano: There are more than 300 MILLION guns in the United States.

If guns were the problem, there would be a hell of a lot mo…",ga,0.307108828
RT @prestonjbyrne: @pattigee @KyleKashuv @GregPittman1957 @Montel_Williams Try as I might I can't see a threat. What I can see is someone s…,oh,-0.194393791
"RT @mic: Because of the Parkland teens, Chris Shields just decided to give up his AR-15. Now, the 18-year member of the military and owner…",fl,-0.077501748
@DavidSorenson20 @DaveWeasel No I said what I meant. And this guy was not supposed to have guns. What law would you pass?,la,0.417118132
RT @allybishopandco: Guns used in cross-border crimes originate from states with more lax laws https://t.co/UDsEUOe7Sr #science #GunContolN…,ga,-0.12629265
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",oh,0.342535049
"RT @TheMarkPantano: There are more than 300 MILLION guns in the United States.

If guns were the problem, there would be a hell of a lot mo…",fl,0.307108828
@UpInTheHills @Melissa62263619 @OfficeOfMike @robert_sicario Jews would have been murdered regardless. Law didn't p… https://t.co/ZJhgCfM5Hg,ks,-0.534246814
"Oh man I wanted to gert onr of those, you know, light sticks that Darth Vader carries..oh well https://t.co/yEBYFvmxaU",va,-0.499889952
why is the government more concerned about juuls then guns 👀 2018 is wild,fl,-0.750029263
RT @shannonrwatts: Of course he is... These guns aren’t going to sell themselves!!! https://t.co/4KARph9Eu3,il,0.299211781
OMG Imagine that???? https://t.co/zVMGC7XElG,in,-0.381426094
"RT @charliekirk11: Liberals hate walls yet live in gated communities 

Liberals hate guns yet walk around with armed guards 

Liberals hate…",tx,-0.491227482
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",wa,0.342535049
Guns don't kill people do.....set a gun on the table...and it will remain there until an idiot grabs it and BANG!#Gunsdontkillpeopledo,ak,-0.252002334
RT @apoll_day: #WaffleHouse shooting suspect’s father could face charges for giving his son his guns back after local authorities had previ…,fl,-0.410115476
"RT @ATFHQ: REWARD: Up to $20,000 offered for information leading to the arrest of those responsible for missing guns out of Compton's City…",tx,0.166732775
@jtabrys The guns apparently go bad if you don’t have the right cooler to prove your manhood!,la,0.08064889
@jtabrys The guns apparently go bad if you don’t have the right cooler to prove your manhood!,pa,0.08064889
"RT @hrenee80: I don’t let overweight people, tell me how to manage my weight

I don’t let broke people, tell me how to manage my money

I d…",va,-0.153421
RT @davidhogg111: @realDonaldTrump @DebbieLesko Kinda ironic that she wants to be tough on crime yet shes wants to allow criminals to be ab…,md,-0.079175589
"This summer I am going to a blog post about the public articulations of logics of (re)generative violence, nuclear… https://t.co/NmClvU0SrW",nm,-0.494325074
"RT @MsLisaHendricks: LOCK THEM UP! Your guns, that is.

The BeSMART program raises awareness of responsible gun storage to prevent unintent…",il,0.226325427
RT @empyreall: me when my hood boyfriend finally leaves me home alone with all his guns.. https://t.co/wBewS19img,ca,-0.3711374
"@AltNatSecAgency @Ant_3122 @davidhogg111 @realDonaldTrump @DebbieLesko Yes, more fucking guns",wa,-0.410115476
@charliekirk11 @mflynnJR Don't forget Charlie Kirk that besides having armed guards they also have guns themselves.,va,-0.477887249
"RT @ATFHQ: REWARD: Up to $20,000 offered for information leading to the arrest of those responsible for missing guns out of Compton's City…",tx,0.166732775
@BLABBERMOUTHNET They should pair up with L.A. Guns and Ratt. So stupid!,co,0.415588811
RT @DaRealBobbyRose: “And carry 4-5’s like change for a 20” https://t.co/eksQrARrsU,ca,-0.592778623
"RT @RyanAFournier: Over the last two months there have been over 5,000 deaths from opioid/drug overdoses. 

The Government has had a War on…",co,-0.291801789
"@dissentingj Interesting thing is it wasn’t a cop. It was a private guard hired by the school, who was arrested by… https://t.co/UlFvElunUP",il,-0.372494324
@JordanUhl Knew this would happen...there's no reason to these people. Everyone is coming for their fucking guns an… https://t.co/UZRu7KtX4t,tx,-0.234381784
@FoxNews Kashuv sounds like an immigrant name. Immigrants shouldn't have guns. They should go back.,ok,-0.266520788
"RT @charliekirk11: Liberals hate walls yet live in gated communities 

Liberals hate guns yet walk around with armed guards 

Liberals hate…",wa,-0.491227482
"RT @IGD_News: ""Militarization of space, suppression of crowds. Checkpoints, tanks, and guns. The demonizing of all who seek to resist. Thes…",ca,0.146739551
RT @ATFHQ: Hells Angels gang member sentenced to 15 years in federal prison for distributing methamphetamine in exchange for 20 stolen guns…,tx,0.331318348
RT @exhibit666: Lmao all the white folks mad at this tweet https://t.co/qxN3aitfqk,ca,0.218263031
RT @mccaffreyr3: Pres Trump refers to KJU as “honorable”. He had his uncle the  #2 in Gov almost beaten to death. Then blown up by antiairc…,ca,0.063849913
RT @QuarterPress: Hace 26 años Guns N' Roses lanzaron sus grandiosos discos 'Use Your Illusion I' y 'Use Your Illusion II': https://t.co/RL…,de,-0.082079965
@m1keyb The real fucked part is he got arrested at the White House with guns on him not only did they release him t… https://t.co/91zZNCYX0z,tx,-0.487713092
RT @KyleKashuv: When will he realize this overstepped his bounds quite a substantial amount? American History teacher without valuing the C…,mi,0.062126828
"RT @HumbleTeej: So this nigga stole a BMW, avoided cops, got arrested at the White House and got his guns taken away, got the guns back, to…",al,-0.079175589
@jacoberling @CatCreighton @LoschBridget @_PoeticMetaphor @xZimzi @jayfeely Yet with as many guns in US as there ar… https://t.co/jvwAx1jgmu,ca,-0.461640052
RT @DevilisRepublcn: Teabaggers believe Jade Helm is a dress rehearsal for someone like Trump to impose martial law in America. Remember Tr…,ca,0.226325427
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",wa,0.342535049
RT @KayaJones: Since coming out as a Trump supporter I’ve received non stop heckling and statements on how I’ve changed. People listen I ha…,pa,0.210369044
@RealPaulSutton @VickieGuerrero People do need guns actually,ne,0.083442198
"RT @HumbleTeej: So this nigga stole a BMW, avoided cops, got arrested at the White House and got his guns taken away, got the guns back, to…",me,-0.079175589
"RT @TheMarkPantano: There are more than 300 MILLION guns in the United States.

If guns were the problem, there would be a hell of a lot mo…",ia,0.307108828
"RT @RyanAFournier: Over the last two months there have been over 5,000 deaths from opioid/drug overdoses. 

The Government has had a War on…",tx,-0.291801789
"RT @TheRISEofROD: Liberals don't want you to know that more lives are saved by law abiding Americans defending themselves/others with guns,…",fl,-0.757480625
"I wonder how much of this is because of gun culture. Here in America it's a good assumption that a person, any pers… https://t.co/fNnGxKznp2",fl,-0.606165346
@Dylan_P_Newman the issue is that we’re allowing people with said mental illnesses to legally purchase guns.,wa,-0.020522851
RT @abctweet100: White guy breached WH; guns found; NOT jailed; guns RETURNED to his father; months later guy uses guns to kill 4 people in…,ca,-0.079175549
"RT @RyanAFournier: Over the last two months there have been over 5,000 deaths from opioid/drug overdoses. 

The Government has had a War on…",ca,-0.291801789
"RT @charliekirk11: Liberals hate walls yet live in gated communities 

Liberals hate guns yet walk around with armed guards 

Liberals hate…",nv,-0.491227482
RT @tsukkiu: If we really want to compare cars to guns how about we put insurance on guns? How about you go through a test to get a license…,ca,0.018899049
"RT @IGD_News: ""Militarization of space, suppression of crowds. Checkpoints, tanks, and guns. The demonizing of all who seek to resist. Thes…",nj,0.146739551
"@Metallimax @eseariel @djeffery547 @GAB_KMFL @charliekirk11 So which part was hypothetical, stating that cars are t… https://t.co/hq5fpRN8tO",ga,-0.473495679
"@Metallimax @eseariel @djeffery547 @GAB_KMFL @charliekirk11 So which part was hypothetical, stating that cars are t… https://t.co/hq5fpRN8tO",ga,-0.473495679
Oh fuck off NRA bullshit puppets. https://t.co/yVgKGQ40mt,pa,-0.569241676
"RT @DantheLawyerMan: If you’re for the troops but not the vets;
The unborn, but not the children;
The trafficked, but not the women;
Think…",ct,-0.077501748
"RT @prayingmedic: 18) #Qanon said the order of removing CIA influence is important.
Saudia Arabia first. 
(They funded the CIA.)
Then North…",la,0.08064889
RT @shannonrwatts: Of course he is... These guns aren’t going to sell themselves!!! https://t.co/4KARph9Eu3,ca,0.299211781
"RT @ArthurSchwartz: Statement from Morton Klein, a child of Holocaust survivors and president of @ZOA_National — the oldest pro-Israel orga…",fl,0.283030184
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",ks,0.342535049
"RT @Education4Libs: Emma Gonzalez now wants to confiscate ALL semi-automatic guns.

If she hates the 2nd Amendment so much, then why doesn’…",ca,-0.363677552
Vanderbilt Football Players Shot After Trying to Retrieve Teammate's Phone With Pellet Guns (Complex Magazine) https://t.co/qMDsvOlShG,ga,-0.594061546
RT @WA_Silenced_Maj: @AndrewKing06 @GregPittman1957 @RepStevenSmith @Montel_Williams @KyleKashuv @browardsheriff I would like to report tha…,ma,-0.423400454
@TomRichey This seems incredibly necessary right now. We shall take a 10 minute mindfulness break before analyzing… https://t.co/2Paq2FM4D7,ga,-0.487713092
Follow me so we can #MakeAmericaGreatAgain I will #follow you back 🇺🇸🇺🇸 #trumptrain🚂 #libtard free zone 🤮 pro… https://t.co/jFf2ayRTNl,co,-0.804333657
"RT @Txkalel: @Robert51139333 @RHONDA_USA @shannonrwatts @prestonjbyrne @KyleKashuv But it’s a Liberal 💦 dream, there are over 300M guns in…",or,-0.099143374
RT @Joe_Schmucc: Friendly reminder that if you take a pic like this with my son I'll come to your house with my guns and it ain't gonna be…,fl,-0.424696626
RT @poconomtn: @PineappleTrevor @ClintonMSix14 @JanjoinedNRA Nope...he’s not. Women love men who carry guns BTW😉,or,0.551379861
RT @DontMockMyTypos: Here's the thing the Liberal Left doesn't understand. I could give a rats a*s what they think of my guns. They WILL RE…,mi,-0.038033554
@TxAngryHamster @Bobapool @EasyMode243 @MamaPhoenix6 @Wolvertans @TitusNation @Anonactivist13 I think background ch… https://t.co/u1cLijxjOw,la,-0.262318259
Spot on as usual. https://t.co/1dEGj3KkmB,nc,-0.230567683
RT @Scott_Gilmore: Two men pointing guns at each other. One begging to be killed. One refusing to kill. An incredible moment worth remember…,tx,-0.143560353
"RT @RyanAFournier: Over the last two months there have been over 5,000 deaths from opioid/drug overdoses. 

The Government has had a War on…",wi,-0.291801789
"RT @TheRISEofROD: #2ADefenders
#2AShallNotBeInfringed

If Liberals ban guns, people will kill with something else. Then liberals will ban t…",fl,0.307108828
RT @carold501: Pretty sad when the #Democrats obey a bunch of kids who rant about guns in Florida.  The roles are reversed and this kids ru…,ct,-0.490052504
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",fl,0.342535049
"RT @BLMLA: “They keep killing us. They’ve just moved from ropes to guns.” - Catherine Walker, mother of #GrecharioMack - killed by LAPD 4/1…",in,-0.474353507
@OliRaymond_LT I mean i be seeing soo many of them with guns it cracks me up like why is a 14 year old walking around with a gun WTF,sc,-0.424696626
"RT @shannonrwatts: Also, According to Harvard University study, people defended themselves with a gun in only 0.9% of crimes from 2007 to 2…",az,0.342535049
"RT @DantheLawyerMan: If you’re for the troops but not the vets;
The unborn, but not the children;
The trafficked, but not the women;
Think…",sc,-0.077501748
Guns N' Roses - Welcome To The Jungle (December 1988) - https://t.co/XB3KbYmBDh,ny,-0.293660782
So much drama in this world. Man shooting at Waffle House the other day and Dallas policemen shot and wounded at a… https://t.co/W65UPguhCM,tx,-0.587979153
RT @Joe_Schmucc: Friendly reminder that if you take a pic like this with my son I'll come to your house with my guns and it ain't gonna be…,tx,-0.424696626
"RT @adriandt31: PELOSI: DEMS READY TO PUSH AMNESTY, GUN CONTROL ‘WHEN WE WIN’

Take Guns!
Open Borders!
Amnesty for All!

Please help sprea…",tx,0.309459999
RT @Alyssa_Milano: The 4th graders who were in Sandy Hook Elementary School when the 1st graders and their educators were being gunned down…,co,-0.722930977
"RT @MsLisaHendricks: LOCK THEM UP! Your guns, that is.

The BeSMART program raises awareness of responsible gun storage to prevent unintent…",wa,0.226325427
RT @Maraude38916732: @TheRISEofROD @GartrellLinda Logic and truth don't apply and wouldn't have any impact with liberals anyway. Gun contro…,fl,0.063849913
RT @DevilisRepublcn: Teabaggers believe Jade Helm is a dress rehearsal for someone like Trump to impose martial law in America. Remember Tr…,fl,0.226325427
He's got some big guns! https://t.co/Z3kPdrpZ1A,mn,-0.656159961
"RT @hrenee80: I don’t let overweight people, tell me how to manage my weight

I don’t let broke people, tell me how to manage my money

I d…",pa,-0.153421
"RT @car_nove: I don't think it's wrong to perceive you as a threat when you are making jokes about our school shooting, posting pictures an…",tx,-0.424696661
"RT @TheRISEofROD: Liberals don't want you to know that more lives are saved by law abiding Americans defending themselves/others with guns,…",nc,-0.757480625
"RT @aishatyler: ""The Unarmed Man Who Stopped The Waffle House Shooter""
Shaw’s actions counter the NRA myth “it takes a good guy with a gun…",fl,0.210369081
"RT @kentrmoore: A father/son outing to learn how to properly shoot, something every father and son should do, now rates an interrogation. h…",ca,-0.148514057
"Believe me, if banning all guns would end innocent people dying, I would be 100% for it. That’s just simply not the… https://t.co/YGcQ60dP7G",ms,-0.747329848
RT @davidhogg111: @realDonaldTrump @DebbieLesko Kinda ironic that she wants to be tough on crime yet shes wants to allow criminals to be ab…,ok,-0.079175589
@FappleMandy @thehill Why should I assume just because someone claims they’re a responsible gun owner that everyone… https://t.co/dMZOGnvEBk,mn,-0.487713125
@nevertrump62 @ChrisStigall @yieldright By the way guns don't kill people. People use guns and other tools to kill people,ct,0.293738447
"RT @TheRISEofROD: Liberals don't want you to know that more lives are saved by law abiding Americans defending themselves/others with guns,…",nv,-0.757480625
@SocialPowerOne1 They are pissed that they can't claim a victory for a weapon being used to stop another weapon. Th… https://t.co/uHcr3dX1kN,in,-0.486538043
RT @Pikuchen: OMG JONGDAE I FEEL SO ATTACKED! HOW COULD SOMEONE LOOKS THIS HOT BY JUST STANDING AND DRINKING COFFEE HE LOOKS SO GORGEOUS AN…,in,0.085640471
"RT @benshapiro: Let’s give full recognition to the manufacturers of the guns that were used to kill Bin Laden rather than your former boss,…",ga,-0.077501748
"RT @baristajongdae: In Jongdae's guns we trust 
#첸 #CHEN #종대 #jongdae https://t.co/RnbTaYvQiu",ny,-0.082825878
"This guy should be locked up and all his guns taken!  But I’m still all for the right to bare arms ... #BuzzVideo
https://t.co/PZClJUlApe",in,-0.798183732
"RT @HumbleTeej: So this nigga stole a BMW, avoided cops, got arrested at the White House and got his guns taken away, got the guns back, to…",ia,-0.079175589
"RT @Trey_VonDinkis: #LeftistTerrorism #BerniesBrownshirts #Socialism=Communism

.
.
🇻🇪VENEZUELA - LEFTISTS TOOK GUNS, NOW MURDER THOUGH THE…",wa,-0.452275207
RT @mccaffreyr3: Pres Trump refers to KJU as “honorable”. He had his uncle the  #2 in Gov almost beaten to death. Then blown up by antiairc…,co,0.063849913
CDC Buried Study Showing Guns Are Used More Often For Protection Than Crime https://t.co/Re3SMSVAcC via @bluelivesmtr,fl,-0.3711374
Love how @NASCAR teams leave no stone unturned! https://t.co/v9nV4bkEW3,nc,0.016477856
